t (s),V (mV)
0,19.4119
1.05,19.371
2.072,19.3164
3.072,19.2746
4.071,19.2302
5.071,19.1753
6.072,19.1266
7.072,19.08
8.072,19.0324
9.072,18.9854
10.072,18.9396
11.072,18.8897
12.071,18.8438
13.071,18.7956
14.071,18.7499
15.072,18.7105
16.072,18.661
17.072,18.6065
18.072,18.5602
19.072,18.5143
20.072,18.4694
21.072,18.4301
22.072,18.3697
23.071,18.2952
24.071,18.2458
25.072,18.2178
26.072,18.1877
27.072,18.1358
28.076,18.0873
29.072,18.0418
30.072,17.9854
31.072,17.9393
32.071,17.8929
33.071,17.8458
34.076,17.8142
35.072,17.7443
36.072,17.6976
37.072,17.6457
38.072,17.6228
39.072,17.5936
40.072,17.5511
41.072,17.5029
42.072,17.4611
43.071,17.4181
44.072,17.3751
45.072,17.3273
46.071,17.2796
47.072,17.2392
48.072,17.1974
49.071,17.1531
50.071,17.1103
51.071,17.0695
52.071,17.023
53.072,16.9825
54.072,16.9384
55.072,16.8951
56.072,16.8549
57.072,16.8163
58.072,16.7693
59.072,16.7242
60.072,16.6915
61.072,16.6459
62.071,16.608
63.071,16.5589
64.072,16.5185
65.071,16.4727
66.071,16.4354
67.072,16.3944
68.072,16.3525
69.072,16.2841
70.077,16.2602
71.072,16.235
72.074,16.1918
73.072,16.1472
74.072,16.1076
75.071,16.0674
76.071,16.0267
77.071,15.9871
78.071,15.9287
79.071,15.9023
80.071,15.8376
81.071,15.8209
82.071,15.7823
83.071,15.7452
84.071,15.7086
85.071,15.6562
86.072,15.6204
87.072,15.5857
88.071,15.5486
89.072,15.5074
90.071,15.47
91.072,15.4289
92.072,15.3926
93.071,15.36
94.077,15.311
95.072,15.2802
96.072,15.2405
97.072,15.1979
98.072,15.1608
99.071,15.1263
100.071,15.0866
101.071,15.0461
102.072,15.0065
103.072,14.9703
104.071,14.933
105.071,14.8982
106.071,14.8581
107.071,14.8189
108.072,14.7801
109.072,14.7437
110.071,14.6989
111.071,14.6538
112.076,14.6217
113.071,14.5937
114.071,14.5402
115.072,14.5143
116.072,14.4656
117.072,14.4393
118.077,14.395
119.072,14.3697
120.072,14.3232
121.072,14.2931
122.072,14.2587
123.072,14.2291
124.077,14.1837
125.071,14.1607
126.071,14.1199
127.071,14.0886
128.072,14.0502
129.072,14.0156
130.076,13.973
131.072,13.9508
132.072,13.9162
133.072,13.8799
134.071,13.8459
135.071,13.8079
136.076,13.7647
137.071,13.7255
138.071,13.6841
139.071,13.6702
140.072,13.6332
141.071,13.5134
142.076,13.5301
143.072,13.5162
144.071,13.4805
145.072,13.4496
146.071,13.409
147.071,13.386
148.071,13.3617
149.071,13.3271
150.072,13.2939
151.072,13.2604
152.072,13.2211
153.071,13.1937
154.077,13.1585
155.072,13.1286
156.071,13.0872
157.072,13.0613
158.072,13.0333
159.072,12.9984
160.072,12.9597
161.072,12.9277
162.072,12.883
163.072,12.8554
164.072,12.8227
165.072,12.7886
166.076,12.7631
167.072,12.7346
168.072,12.7041
169.072,12.6621
170.071,12.629
171.072,12.5996
172.077,12.5688
173.072,12.5381
174.072,12.5035
175.072,12.4829
176.071,12.4498
177.072,12.42
178.072,12.3798
179.072,12.354
180.071,12.3184
181.072,12.2674
182.072,12.198
183.072,12.2057
184.071,12.1862
185.071,12.167
186.072,12.1335
187.071,12.0981
188.071,12.0724
189.071,12.0472
190.071,12.0166
191.072,11.9866
192.072,11.9489
193.072,11.9156
194.071,11.8873
195.072,11.8551
196.072,11.8259
197.071,11.8
198.072,11.766
199.071,11.7417
200.071,11.7114
201.071,11.675
202.071,11.6497
203.072,11.6195
204.072,11.5915
205.071,11.5624
206.071,11.5319
207.072,11.5018
208.072,11.4689
209.071,11.4447
210.071,11.4088
211.072,11.3791
212.071,11.3475
213.071,11.3218
214.071,11.2936
215.071,11.2643
216.072,11.2384
217.071,11.2105
218.071,11.1799
219.072,11.1537
220.077,11.1365
221.071,11.0989
222.071,11.0714
223.071,11.044
224.071,11.0153
225.072,10.9924
226.072,10.9632
227.071,10.933
228.071,10.9065
229.071,10.8806
230.071,10.8499
231.071,10.824
232.071,10.7966
233.071,10.7667
234.071,10.7415
235.071,10.7122
236.071,10.6868
237.071,10.6594
238.071,10.6312
239.071,10.6061
240.07,10.5807
241.07,10.554
242.07,10.5258
243.071,10.5004
244.07,10.4745
245.071,10.4479
246.07,10.4182
247.071,10.397
248.07,10.3716
249.071,10.3449
250.07,10.3179
251.07,10.2908
252.07,10.2646
253.07,10.2395
254.07,10.2146
255.07,10.1883
256.07,10.1595
257.071,10.1339
258.071,10.1078
259.07,10.0832
260.07,10.057
261.07,10.0321
262.071,10.0074
263.072,9.9812
264.072,9.9549
265.072,9.9277
266.071,9.9015
267.071,9.8758
268.071,9.852
269.071,9.8238
270.071,9.8062
271.071,9.7796
272.071,9.7569
273.071,9.733
274.076,9.7113
275.071,9.6822
276.071,9.6581
277.071,9.6341
278.072,9.6066
279.071,9.5817
280.071,9.558
281.071,9.5343
282.072,9.5087
283.072,9.489
284.072,9.4617
285.072,9.4375
286.077,9.4196
287.071,9.3904
288.071,9.3638
289.071,9.3424
290.071,9.3168
291.071,9.2925
292.072,9.27
293.071,9.2443
294.072,9.2175
295.071,9.19
