t (s),V (mV)
0,18.2061
1.045,18.1805
2.044,18.1555
3.044,18.1288
4.045,18.0993
5.045,18.0723
6.045,18.0432
7.044,18.0135
8.044,17.9848
9.044,17.9508
10.045,17.9195
11.044,17.8888
12.045,17.8572
13.044,17.8273
14.045,17.7945
15.045,17.7629
16.045,17.7316
17.044,17.6994
18.044,17.6682
19.044,17.6374
20.045,17.6024
21.045,17.57
22.045,17.5403
23.044,17.5088
24.045,17.477
25.045,17.445
26.044,17.4141
27.045,17.3836
28.045,17.3526
29.044,17.3207
30.045,17.288
31.045,17.2618
32.044,17.2289
33.045,17.2014
34.045,17.1683
35.044,17.141
36.045,17.1087
37.045,17.0786
38.044,17.0489
39.045,17.0193
40.045,16.9923
41.044,16.9586
42.044,16.9304
43.044,16.902
44.045,16.8723
45.045,16.8421
46.045,16.8135
47.044,16.7834
48.044,16.7544
49.045,16.7252
50.045,16.6992
51.045,16.6709
52.045,16.6422
53.045,16.6125
54.044,16.5854
55.045,16.5571
56.045,16.5321
57.045,16.5063
58.044,16.4777
59.044,16.4498
60.044,16.4228
61.044,16.3974
62.047,16.3721
63.045,16.3457
64.044,16.319
65.045,16.2919
66.046,16.2707
67.044,16.24
68.045,16.2128
69.044,16.1854
70.045,16.1594
71.045,16.1336
72.044,16.1069
73.045,16.0792
74.044,16.0534
75.044,16.0266
76.045,15.9998
77.044,15.9759
78.044,15.9499
79.045,15.9234
80.045,15.8984
81.044,15.8718
82.045,15.844
83.044,15.8183
84.044,15.794
85.045,15.77
86.044,15.7439
87.044,15.718
88.045,15.6925
89.044,15.6686
90.044,15.6429
91.045,15.6171
92.044,15.5927
93.044,15.5695
94.045,15.5465
95.045,15.5227
96.044,15.4971
97.044,15.4746
98.045,15.4502
99.045,15.4259
100.045,15.4019
101.045,15.3767
102.045,15.3538
103.045,15.33
104.045,15.3059
105.045,15.2834
106.045,15.2607
107.044,15.2368
108.044,15.2123
109.044,15.1897
110.044,15.168
111.045,15.1445
112.044,15.1199
113.045,15.0978
114.044,15.0741
115.044,15.052
116.045,15.0321
117.044,15.0093
118.045,14.9887
119.044,14.9661
120.044,14.9439
121.045,14.9209
122.044,14.899
123.044,14.8778
124.045,14.8547
125.044,14.831
126.045,14.808
127.045,14.7868
128.044,14.7634
129.044,14.7418
130.044,14.7188
131.044,14.6973
132.049,14.6706
133.045,14.6531
134.044,14.6322
135.044,14.6103
136.045,14.5877
137.044,14.5655
138.044,14.5432
139.044,14.5231
140.045,14.4994
141.045,14.4784
142.044,14.4559
143.045,14.4329
144.049,14.4093
145.044,14.3919
146.045,14.3697
147.045,14.3482
148.045,14.3273
149.045,14.3056
150.045,14.2833
151.045,14.2625
152.044,14.2414
153.044,14.2191
154.044,14.1993
155.045,14.1786
156.045,14.1577
157.045,14.1373
158.045,14.1157
159.044,14.0927
160.044,14.0727
161.044,14.0559
162.045,14.0316
163.045,14.0103
164.045,13.9914
165.044,13.9698
166.045,13.9495
167.044,13.9305
168.045,13.9122
169.045,13.894
170.044,13.8685
171.044,13.8512
172.044,13.8318
173.045,13.8126
174.044,13.7947
175.045,13.775
176.044,13.7551
177.044,13.7377
178.044,13.7185
179.045,13.7005
180.045,13.6791
181.045,13.6607
182.046,13.6387
183.044,13.6208
184.044,13.6025
185.045,13.5817
186.045,13.5626
187.044,13.5455
188.045,13.526
189.045,13.506
190.044,13.4861
191.045,13.4651
192.045,13.4452
193.045,13.4263
194.045,13.4064
195.044,13.3855
196.045,13.3711
197.045,13.3547
198.045,13.3311
199.044,13.3122
200.044,13.2974
201.044,13.2766
202.045,13.2573
203.045,13.2392
204.045,13.219
205.045,13.2031
206.044,13.1832
207.044,13.1623
208.045,13.1428
209.045,13.124
210.045,13.1058
211.045,13.0872
212.044,13.0693
213.044,13.0503
214.045,13.0336
215.044,13.0129
216.049,13
217.045,12.9815
218.045,12.9596
219.045,12.9424
220.045,12.9237
221.044,12.9064
222.044,12.8871
223.045,12.8692
224.045,12.8491
225.044,12.8329
226.044,12.8147
227.045,12.7971
228.045,12.7802
229.045,12.7604
230.045,12.7413
231.045,12.7237
232.045,12.7062
233.044,12.6894
234.044,12.6714
235.045,12.6524
236.045,12.6348
237.044,12.6174
238.045,12.5983
239.044,12.5819
240.045,12.5647
241.045,12.5464
242.045,12.5312
243.044,12.5101
244.044,12.498
245.044,12.4759
246.044,12.4577
247.045,12.4391
248.045,12.4234
249.045,12.4047
250.044,12.3875
251.044,12.3693
252.044,12.3537
253.044,12.3356
254.044,12.3175
255.044,12.3015
256.045,12.2842
257.045,12.2665
258.044,12.2503
259.044,12.2336
260.044,12.2163
261.044,12.1939
262.044,12.1784
263.044,12.1624
264.045,12.147
265.045,12.129
266.044,12.116
267.045,12.0996
268.045,12.0839
269.044,12.0674
270.045,12.0456
271.045,12.0291
272.045,12.0133
273.044,11.9988
274.044,11.9807
275.045,11.9648
276.045,11.9493
277.044,11.9329
278.044,11.916
279.045,11.8989
280.045,11.8842
281.044,11.8669
282.044,11.8507
283.045,11.8338
284.045,11.8185
285.045,11.8013
286.044,11.7875
287.044,11.7727
288.049,11.7479
289.044,11.7379
290.044,11.724
291.044,11.7077
292.044,11.6923
293.045,11.6764
294.045,11.6601
295.045,11.6416
296.045,11.6261
297.045,11.6096
298.045,11.5924
299.045,11.5771
300.044,11.5624
301.045,11.5483
302.046,11.5298
303.044,11.5155
304.045,11.4983
305.044,11.4842
306.05,11.4668
307.044,11.452
308.044,11.4367
309.044,11.4214
310.044,11.4046
311.045,11.3901
312.045,11.3738
313.045,11.3583
314.044,11.3431
315.045,11.3276
316.045,11.3128
317.044,11.2984
318.045,11.2832
319.045,11.2692
320.044,11.2539
321.045,11.2376
322.045,11.2226
323.045,11.2056
324.044,11.1901
325.044,11.1765
326.044,11.1618
327.044,11.1464
328.045,11.1315
329.045,11.1147
330.045,11.101
331.044,11.0854
332.044,11.0703
333.044,11.0544
